Question,% correct
Q8.7,100.0
Q7.4,100.0
Q10.6,100.0
Q10.4,100.0
Q3.5,100.0
Q7.5,100.0
Q6.3,100.0
Q4.1,100.0
Q6.1,100.0
Q8.3,100.0
Q5.6,100.0
Q8.5,100.0
Q3.1,94.7
Q4.5,94.4
Q5.3,94.4
Q8.4,94.1
Q4.3,94.1
Q6.6,94.1
Q3.2,94.1
Q9.1,93.8
Q5.4,93.8
Q4.2,93.8
Q8.1,93.8
Q9.7,93.8
Q6.4,88.2
Q6.5,88.2
Q9.3,87.5
Q9.6,87.5
Q10.2,87.5
Q7.1,87.5
Q5.1,87.5
Q10.1,85.7
Q3.6,85.0
Q7.7,83.3
Q9.4,82.4
Q4.6,82.4
Q3.7,82.4
Q5.2,82.4
Q10.5,76.5
Q8.2,76.5
Q7.3,75.0
Q3.4,75.0
Q5.5,75.0
Q10.3,70.6
Q7.6,68.4
Q5.7,64.7
Q6.2,64.7
Q9.2,58.8
Q4.4,58.8
Q4.7,58.8
Q10.7,58.8
Q9.5,56.2
Q7.2,56.2
Q8.6,50.0
Q3.3,50.0
Q6.7,43.8
